compensation,date,early_access,found_funny,found_helpful,found_unhelpful,hours,page,page_order,product_id,products,recommended,text,user_id,username,,,
,2020-03-19,FALSE,,,,14.2,1,0,292030,32,TRUE,i can reckomend this game to everyone,,Razzen,,,
,2020-03-19,FALSE,,,,189.5,1,1,292030,53,TRUE,"The main story didn't catch my attention, the expansions and side-quests though... They alone are worth the game.
Gameplay 7/10
Graphics 10/10
Expansions 10/10
Main story 5/10
Side-quests 10/10
9/10 The game isn't perfect as many people say, but it's one of the best games of this generation without a doubt.
P.S: Read the books",,Chris,,,
,2020-03-19,FALSE,,,,8,1,2,292030,15,TRUE,Great,,OG Manteow,,,
,2020-03-19,FALSE,,,,199.6,1,3,292030,34,TRUE,Damn. I dont want it to end.,,greyland1993,,,
,2020-03-19,FALSE,,,,96.5,1,4,292030,32,TRUE,"Jedna z nejlepších (možná i nejlepší) her poslední dekády.
10/10",7.65612E+16,Jøk€r,,,
,2020-03-19,FALSE,,,,10,1,5,292030,14,TRUE,Nice games,7.65612E+16,KUSH1R0 gamehag.com,,,
,2020-03-19,FALSE,,,,188.7,1,6,292030,200,TRUE,Its really good..,,AizenvaltGx,,,
,2020-03-19,FALSE,,,,18.4,1,7,292030,25,TRUE,Love it,7.65612E+16,vieteca,,,
,2020-03-19,FALSE,,,,66.1,1,8,292030,65,TRUE,"Amazing, so complex, yet so amazing",,guasta8,,,
,2020-03-19,FALSE,,,,433.8,1,9,292030,27,TRUE,Playing for 4rth time death march WHY THIS IS NEVER GETTING BORED !!!!!,,Hellstorm,,,
,2020-03-19,FALSE,,,,86,2,0,292030,52,TRUE,말이 필요한가,7.65612E+16,S0K0N0K1,,,
,2020-03-19,FALSE,,,,3.5,2,1,292030,2,TRUE,"Loving it!!! Playing for only God knows, how long.
Amazing game!!!",7.65612E+16,sup2a1nn,,,
,2020-03-19,FALSE,,,,9.2,2,2,292030,37,TRUE,Solid game and the story is great as it always is with this series.,7.65612E+16,solfire(correllis),,,
,2020-03-19,FALSE,,,,27.6,2,3,292030,115,TRUE,play this game makes me wish i had friends so i could neglect them and play this game instead. gud gaem ;-;,7.65612E+16,Red,,,
